Pipeline,Date,Rate Schedule,Receipt Point,Receipt Zone,Delivery Point,Delivery Zone,Tariff Rate Type,Tariff Rate,Magnitude,Tariff Rate Structure,Rate Zone
"ETC Tiger Pipeline, LLC",07/01/2018,FTS,Acadian IC | 79022,East Of Hwy 789,ANR | 78542,East Of Hwy 789,ACA,0.00130,$/Dth,System,Entire System
Fayetteville Express Pipeline LLC,07/01/2018,PAL,BHP/Center Ridge | 78557,Fayetteville Supply Basin,ANR Quitman | 78524,Market,Overrun,0.34410,$/Dth     ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Market,Commodity,1.56000,¢/Dth     ,Zone to Zone,Market Area - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Market,Fuel,3.92000,%         ,Zone to Zone,Market Area - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Market,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Alcoa-Ft Meade Plant | 16277,Zone 1,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Attwater - Topaz | 100749,Zone 2,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Attwater - Topaz | 100749,Zone 2,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Zone 3,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Market,Acadia Partners P/L CTG | 78318,Zone 3,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Commodity,0.80000,¢/Dth     ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Fuel,392.00000,%         ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alcoa-Ft Meade Plant | 16277,Zone 1,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Attwater - Topaz | 100749,Zone 2,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Attwater - Topaz | 100749,Zone 2,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Attwater - Topaz | 100749,Zone 2,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Attwater - Topaz | 100749,Zone 2,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Acadia Partners P/L CTG | 78318,Zone 3,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Acadia Partners P/L CTG | 78318,Zone 3,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Acadia Partners P/L CTG | 78318,Zone 3,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Acadia Partners P/L CTG | 78318,Zone 3,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alabama Electric Co-Op | 62215,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alabama Electric Co-Op | 62215,Market,Commodity,0.80000,¢/Dth     ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alabama Electric Co-Op | 62215,Market,Fuel,392.00000,%         ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alabama Electric Co-Op | 62215,Market,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Alcoa-Ft Meade Plant | 16277,Zone 1,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Attwater - Topaz | 100749,Zone 2,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Attwater - Topaz | 100749,Zone 2,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Attwater - Topaz | 100749,Zone 2,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Attwater - Topaz | 100749,Zone 2,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Acadia Partners P/L CTG | 78318,Zone 3,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Acadia Partners P/L CTG | 78318,Zone 3,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Acadia Partners P/L CTG | 78318,Zone 3,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #3 Port Lavaca | 25301,Zone 2,Acadia Partners P/L CTG | 78318,Zone 3,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alabama Electric Co-Op | 62215,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alabama Electric Co-Op | 62215,Market,Commodity,0.80000,¢/Dth     ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alabama Electric Co-Op | 62215,Market,Fuel,392.00000,%         ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alabama Electric Co-Op | 62215,Market,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Alcoa-Ft Meade Plant | 16277,Zone 1,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Attwater - Topaz | 100749,Zone 2,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Attwater - Topaz | 100749,Zone 2,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Attwater - Topaz | 100749,Zone 2,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Attwater - Topaz | 100749,Zone 2,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Acadia Partners P/L CTG | 78318,Zone 3,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Acadia Partners P/L CTG | 78318,Zone 3,Commodity,1.54000,¢/Dth     ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Acadia Partners P/L CTG | 78318,Zone 3,Fuel,1.28000,%         ,Zone to Zone,Western Div - Western Div
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-1,(We) Cs #75 | 61799,Zone 3,Acadia Partners P/L CTG | 78318,Zone 3,Reservation,55.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alabama Electric Co-Op | 62215,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alabama Electric Co-Op | 62215,Market,Commodity,1.56000,¢/Dth     ,Zone to Zone,Market Area - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alabama Electric Co-Op | 62215,Market,Fuel,3.92000,%         ,Zone to Zone,Market Area - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alabama Electric Co-Op | 62215,Market,Reservation,65.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Alcoa-Ft Meade Plant | 16277,Zone 1,Reservation,65.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Attwater - Topaz | 100749,Zone 2,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Attwater - Topaz | 100749,Zone 2,Reservation,65.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Acadia Partners P/L CTG | 78318,Zone 3,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(We) Cs #10 Wiggins | 25308,Market,Acadia Partners P/L CTG | 78318,Zone 3,Reservation,65.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,ACA,0.00130,$/Dth,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Commodity,2.04000,¢/Dth     ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Fuel,3.92000,%         ,Zone to Zone,Western Div - Market Area
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alabama Electric Co-Op | 62215,Market,Reservation,65.18000,¢/Dth/day ,System,Entire System
"Florida Gas Transmission Company, LLC",07/01/2018,FTS-2,(FMPA Ft. Pierce) Treasure Coast Center | 78443,Zone 1,Alcoa-Ft Meade Plant | 16277,Zone 1,ACA,0.00130,$/Dth,System,Entire System
